Step,Energy_eV_per_atom,NC
100,-0.712897,0.7875
200,-0.740967,0.7797
300,-0.764010,0.7758
400,-0.788662,0.7680
500,-0.823931,0.7602
600,-0.852187,0.7524
700,-0.886506,0.7485
800,-0.916431,0.7446
900,-0.961985,0.7329
1000,-0.994585,0.7212
1100,-1.035518,0.7173
1200,-1.089842,0.7173
1300,-1.134796,0.7057
1400,-1.168170,0.6979
1500,-1.223562,0.6901
1600,-1.254025,0.6784
1700,-1.277292,0.6745
1800,-1.308403,0.6745
1900,-1.349535,0.6667
2000,-1.395300,0.6667
2100,-1.424467,0.6628
2200,-1.472661,0.6550
2300,-1.528147,0.6511
2400,-1.575653,0.6433
2500,-1.622191,0.6394
2600,-1.674489,0.6355
2700,-1.732742,0.6277
2800,-1.777895,0.6277
2900,-1.824005,0.6238
3000,-1.881975,0.6199
3100,-1.944327,0.6160
3200,-2.000796,0.6121
3300,-2.061348,0.6043
3400,-2.120307,0.5965
3500,-2.166783,0.5887
3600,-2.220090,0.5809
3700,-2.264686,0.5770
3800,-2.342159,0.5731
3900,-2.430396,0.5731
4000,-2.498952,0.5731
4100,-2.582359,0.5692
4200,-2.630396,0.5692
4300,-2.687733,0.5692
4400,-2.754724,0.5692
4500,-2.815474,0.5692
4600,-2.879395,0.5614
4700,-2.946500,0.5614
4800,-3.015755,0.5614
4900,-3.089683,0.5614
5000,-3.174351,0.5575
5100,-3.263423,0.5536
5200,-3.339066,0.5497
5300,-3.433931,0.5458
5400,-3.516009,0.5380
5500,-3.568701,0.5380
5600,-3.630867,0.5380
5700,-3.696345,0.5341
5800,-3.781691,0.5341
5900,-3.842867,0.5341
6000,-3.935040,0.5302
6100,-4.007649,0.5302
6200,-4.087569,0.5302
6300,-4.168599,0.5302
6400,-4.232375,0.5263
6500,-4.279852,0.5185
6600,-4.353576,0.5146
6700,-4.406077,0.5146
6800,-4.461983,0.5107
6900,-4.521781,0.5068
7000,-4.574250,0.5029
7100,-4.629577,0.4951
7200,-4.694647,0.4912
7300,-4.774989,0.4873
7400,-4.822476,0.4873
7500,-4.907218,0.4873
7600,-4.969456,0.4834
7700,-5.048324,0.4834
7800,-5.141495,0.4795
7900,-5.211188,0.4756
8000,-5.290581,0.4717
8100,-5.356190,0.4639
8200,-5.425404,0.4639
8300,-5.501314,0.4639
8400,-5.605367,0.4561
8500,-5.679424,0.4522
8600,-5.747489,0.4522
8700,-5.821292,0.4483
8800,-5.892515,0.4444
8900,-5.938444,0.4444
9000,-5.981327,0.4405
9100,-6.034775,0.4405
9200,-6.075536,0.4405
9300,-6.122729,0.4327
9400,-6.189825,0.4327
9500,-6.263384,0.4288
9600,-6.321225,0.4250
9700,-6.361805,0.4211
9800,-6.419197,0.4211
9900,-6.501072,0.4211
10000,-6.552794,0.4211
10100,-6.599213,0.4211
10200,-6.663036,0.4133
10300,-6.731972,0.4133
10400,-6.784841,0.4133
10500,-6.836216,0.4133
10600,-6.878820,0.4055
10700,-6.932390,0.4055
10800,-6.957862,0.4055
10900,-7.026578,0.4016
11000,-7.066412,0.4016
11100,-7.117622,0.4016
11200,-7.147984,0.4016
11300,-7.199081,0.4016
11400,-7.266963,0.3977
11500,-7.305832,0.3977
11600,-7.348221,0.3938
11700,-7.409264,0.3938
11800,-7.461194,0.3938
11900,-7.527953,0.3938
12000,-7.562483,0.3938
12100,-7.587845,0.3938
12200,-7.624172,0.3899
12300,-7.678396,0.3899
12400,-7.716942,0.3899
12500,-7.772251,0.3899
12600,-7.811720,0.3899
12700,-7.868445,0.3899
12800,-7.919946,0.3899
12900,-7.966812,0.3899
13000,-7.993066,0.3860
13100,-8.003905,0.3860
13200,-8.050855,0.3860
13300,-8.075569,0.3860
13400,-8.103155,0.3860
13500,-8.123188,0.3860
13600,-8.154039,0.3860
13700,-8.193191,0.3860
13800,-8.227395,0.3860
13900,-8.262569,0.3860
14000,-8.279979,0.3860
14100,-8.314708,0.3860
14200,-8.337501,0.3860
14300,-8.368233,0.3860
14400,-8.414319,0.3860
14500,-8.453383,0.3860
14600,-8.471346,0.3860
14700,-8.502044,0.3860
14800,-8.519195,0.3899
14900,-8.550141,0.3899
15000,-8.567874,0.3899
15100,-8.595497,0.3899
15200,-8.635063,0.3899
15300,-8.660499,0.3899
15400,-8.672807,0.3899
15500,-8.698687,0.3899
15600,-8.709538,0.3899
15700,-8.736784,0.3899
15800,-8.762981,0.3899
15900,-8.787013,0.3899
16000,-8.827430,0.3860
16100,-8.846215,0.3860
16200,-8.876327,0.3860
16300,-8.903882,0.3860
16400,-8.937015,0.3821
16500,-8.967581,0.3821
16600,-8.995068,0.3821
16700,-9.008936,0.3821
16800,-9.039293,0.3821
16900,-9.051153,0.3821
17000,-9.084248,0.3821
17100,-9.109283,0.3821
17200,-9.127094,0.3821
17300,-9.142041,0.3821
17400,-9.160255,0.3821
17500,-9.190065,0.3782
17600,-9.212621,0.3782
17700,-9.244098,0.3782
17800,-9.261526,0.3782
17900,-9.287030,0.3782
18000,-9.311323,0.3782
18100,-9.341360,0.3782
18200,-9.401196,0.3782
18300,-9.427344,0.3782
18400,-9.456748,0.3743
18500,-9.481543,0.3704
18600,-9.504275,0.3704
18700,-9.519799,0.3704
18800,-9.529107,0.3704
18900,-9.540310,0.3704
19000,-9.568474,0.3704
19100,-9.581083,0.3704
19200,-9.603135,0.3704
19300,-9.625800,0.3704
19400,-9.656107,0.3704
19500,-9.684129,0.3704
19600,-9.709339,0.3704
19700,-9.737126,0.3704
19800,-9.752428,0.3704
19900,-9.768358,0.3704
20000,-9.785833,0.3704
20100,-9.794752,0.3704
20200,-9.826830,0.3704
20300,-9.942365,0.3704
20400,-9.960954,0.3704
20500,-9.982624,0.3704
20600,-10.003092,0.3704
20700,-10.011650,0.3704
20800,-10.029817,0.3704
20900,-10.052326,0.3704
21000,-10.060808,0.3665
21100,-10.076338,0.3665
21200,-10.095138,0.3626
21300,-10.108135,0.3665
21400,-10.116842,0.3665
21500,-10.128859,0.3665
21600,-10.149194,0.3665
21700,-10.162101,0.3665
21800,-10.199475,0.3665
21900,-10.220757,0.3665
22000,-10.273306,0.3665
22100,-10.289276,0.3665
22200,-10.298217,0.3665
22300,-10.324591,0.3665
22400,-10.330105,0.3665
22500,-10.355297,0.3665
22600,-10.414442,0.3665
22700,-10.422857,0.3665
22800,-10.432271,0.3665
22900,-10.445504,0.3665
23000,-10.472264,0.3665
23100,-10.484080,0.3626
23200,-10.502555,0.3626
23300,-10.652734,0.3626
23400,-10.659993,0.3626
23500,-10.671734,0.3626
23600,-10.679607,0.3626
23700,-10.685064,0.3587
23800,-10.694082,0.3587
23900,-10.709876,0.3587
24000,-10.726195,0.3587
24100,-10.742893,0.3587
24200,-10.765625,0.3587
24300,-10.779008,0.3587
24400,-10.812468,0.3587
24500,-10.821088,0.3587
24600,-10.872038,0.3587
24700,-10.894338,0.3587
24800,-10.901179,0.3548
24900,-10.913376,0.3548
25000,-10.931723,0.3548
25100,-10.956301,0.3548
25200,-10.967492,0.3548
25300,-10.985519,0.3548
25400,-10.999035,0.3548
25500,-11.016868,0.3548
25600,-11.033978,0.3548
25700,-11.044725,0.3548
25800,-11.058805,0.3548
25900,-11.079171,0.3548
26000,-11.098667,0.3509
26100,-11.115257,0.3470
26200,-11.140208,0.3470
26300,-11.165491,0.3470
26400,-11.179533,0.3470
26500,-11.206766,0.3470
26600,-11.249580,0.3470
26700,-11.260055,0.3470
26800,-11.325676,0.3470
26900,-11.342431,0.3470
27000,-11.363710,0.3470
27100,-11.446906,0.3470
27200,-11.470867,0.3431
27300,-11.479715,0.3431
27400,-11.492357,0.3392
27500,-11.497267,0.3392
27600,-11.531808,0.3392
27700,-11.536425,0.3392
27800,-11.546829,0.3392
27900,-11.559962,0.3353
28000,-11.571868,0.3353
28100,-11.582378,0.3353
28200,-11.635406,0.3314
28300,-11.658392,0.3314
28400,-11.675675,0.3275
28500,-11.712500,0.3275
28600,-11.762059,0.3275
28700,-11.803539,0.3275
28800,-11.819753,0.3275
28900,-11.834589,0.3275
29000,-11.856978,0.3275
29100,-11.879088,0.3275
29200,-11.895099,0.3275
29300,-11.922516,0.3275
29400,-11.937488,0.3275
29500,-11.944519,0.3314
29600,-11.972949,0.3314
29700,-12.001536,0.3314
29800,-12.022142,0.3314
29900,-12.035373,0.3314
30000,-12.049768,0.3314
30100,-12.056067,0.3314
30200,-12.071170,0.3314
30300,-12.141038,0.3314
30400,-12.195582,0.3314
30500,-12.249252,0.3314
30600,-12.263532,0.3275
30700,-12.277000,0.3275
30800,-12.321979,0.3275
30900,-12.399177,0.3275
31000,-12.429035,0.3275
31100,-12.438316,0.3275
31200,-12.631799,0.3275
31300,-12.660434,0.3275
31400,-12.683052,0.3275
31500,-12.694473,0.3275
31600,-12.791244,0.3275
31700,-12.819904,0.3275
31800,-12.849912,0.3275
31900,-12.943952,0.3275
32000,-12.961059,0.3275
32100,-12.967122,0.3275
32200,-13.225682,0.3275
32300,-13.237259,0.3236
32400,-13.269925,0.3236
32500,-13.298316,0.3236
32600,-13.311836,0.3236
32700,-13.322881,0.3236
32800,-13.352852,0.3236
32900,-13.419369,0.3236
33000,-13.435400,0.3236
33100,-13.487550,0.3236
33200,-13.496842,0.3236
33300,-13.517678,0.3236
33400,-13.534955,0.3236
33500,-13.577074,0.3236
33600,-13.598780,0.3236
33700,-13.628629,0.3236
33800,-13.666061,0.3236
33900,-13.681922,0.3236
34000,-13.694292,0.3236
34100,-13.721366,0.3236
34200,-13.749745,0.3236
34300,-13.769846,0.3236
34400,-13.825802,0.3236
34500,-13.845681,0.3236
34600,-13.857607,0.3236
34700,-13.868287,0.3236
34800,-13.924083,0.3236
34900,-13.934593,0.3236
35000,-13.957253,0.3236
35100,-13.992366,0.3236
35200,-14.003062,0.3236
35300,-14.042025,0.3236
35400,-14.070879,0.3236
35500,-14.082517,0.3236
35600,-14.091071,0.3236
35700,-14.105546,0.3236
35800,-14.128356,0.3236
35900,-14.182098,0.3236
36000,-14.193910,0.3236
36100,-14.289347,0.3236
36200,-14.350966,0.3236
36300,-14.358419,0.3236
36400,-14.383605,0.3236
36500,-14.388689,0.3236
36600,-14.448460,0.3236
36700,-14.464163,0.3236
36800,-14.723373,0.3236
36900,-14.737050,0.3236
37000,-14.824058,0.3236
37100,-15.167010,0.3197
37200,-15.286176,0.3197
37300,-15.301503,0.3197
37400,-15.321155,0.3197
37500,-15.345429,0.3197
37600,-15.376877,0.3197
37700,-15.576313,0.3197
37800,-15.741029,0.3197
37900,-15.779312,0.3197
38000,-15.837304,0.3197
38100,-15.881423,0.3197
38200,-15.956250,0.3197
